train_size,run,early_epochs,early_acc,early_loss,smart_epochs,smart_acc,smart_loss,param_epochs,param_acc,param_loss,diff_epochs,diff_loss,diff_acc,rel_epochs_saved,utility,smart_better,dataset
2000,9,33,0.5414847161572053,1.0876760495816424,200,0.5895196506550219,1.1296885759452653,8,0.5152838427947598,1.1089043851758613,-167,-0.04201252636362285,-0.048034934497816595,-5.060606059072543,0.2859650655021834,True,Wine
5000,0,122,0.5851528384279476,1.0394581774544847,200,0.611353711790393,1.150363614650372,8,0.5065502183406113,1.2844754473759177,-78,-0.1109054371958873,-0.026200873362445365,-0.6393442622426767,0.12979912663755463,True,Wine
5000,1,24,0.5589519650655022,1.1457998075120437,200,0.5938864628820961,1.0477502645690584,8,0.5152838427947598,1.1604506402719217,-176,0.09804954294298529,-0.03493449781659397,-7.333333330277777,0.317065502183406,True,Wine
5000,2,41,0.5807860262008734,1.2152242627951617,200,0.6069868995633187,1.0582431880502754,8,0.4978165938864629,1.1297903139083112,-159,0.15698107474488632,-0.026200873362445365,-3.878048779541939,0.29179912663755464,True,Wine
5000,3,148,0.5633187772925764,1.0729384135678817,200,0.5895196506550219,1.1066510038949102,8,0.519650655021834,1.1642996229109217,-52,-0.03371259032702856,-0.026200873362445476,-0.35135135132761136,0.07779912663755453,True,Wine
5000,4,26,0.48034934497816595,1.1713187355812782,200,0.611353711790393,1.060297376471139,8,0.4978165938864629,1.1077301417543588,-174,0.11102135911013922,-0.13100436681222705,-6.6923076897337275,0.21699563318777298,True,Wine
5000,5,173,0.5807860262008734,1.0557357151000226,200,0.6200873362445415,1.009331986552379,8,0.4890829694323144,1.2128548739386387,-27,0.04640372854764352,-0.0393013100436681,-0.15606936415282835,0.014698689956331897,True,Wine
5000,6,28,0.5502183406113537,1.1291133158845328,200,0.6244541484716157,1.0272321648936453,9,0.5502183406113537,1.2339281039159806,-172,0.10188115099088746,-0.07423580786026207,-6.142857140663265,0.26976419213973796,True,Wine
5000,7,38,0.5633187772925764,1.1095891806597267,200,0.5982532751091703,1.013110797913348,8,0.4585152838427948,1.2344873000363834,-162,0.09647838274637865,-0.03493449781659386,-4.263157893614959,0.28906550218340615,True,Wine
5000,8,51,0.5589519650655022,1.11399502506673,200,0.6157205240174672,1.002956919982785,8,0.47161572052401746,1.3446997006734211,-149,0.11103810508394507,-0.05676855895196509,-2.921568626878124,0.2412314410480349,True,Wine
5000,9,184,0.6069868995633187,1.0351274156831,200,0.611353711790393,1.1329776615392966,8,0.5589519650655022,1.1480240678526665,-16,-0.0978502458561965,-0.004366812227074246,-0.08695652173440453,0.027633187772925755,True,Wine
