task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,800,0.003,early,22,0.0,6.349174937081425e-05,3.160768316743554e-05,0.00046299502950308824,23
cifar10,800,0.003,smart_trend,11,0.0,6.349174937081425e-05,3.160768316743554e-05,0.00046299502950308824,23
cifar10,800,0.003,smart_meta,11,0.0,6.349174937081425e-05,3.160768316743554e-05,0.00046299502950308824,23
cifar10,800,0.003,param,11,0.0,6.349174937081425e-05,3.160768316743554e-05,0.00046299502950308824,23
cifar10,2000,0.0003,early,48,0.013000011444091797,0.027012324464502635,0.008977412841585663,0.09837709000803596,24
cifar10,2000,0.0003,smart_trend,19,0.041999995708465576,0.027012324464502635,0.008977412841585663,0.09837709000803596,24
cifar10,2000,0.0003,smart_meta,15,0.05230000615119934,0.027012324464502635,0.008977412841585663,0.09837709000803596,24
cifar10,2000,0.0003,param,11,0.08000001311302185,0.027012324464502635,0.008977412841585663,0.09837709000803596,24
cifar10,300,0.0003,early,102,0.010100007057189941,0.0031748632823982437,0.001581308885199231,0.03411986142106127,25
cifar10,300,0.0003,smart_trend,11,0.05150000751018524,0.0031748632823982437,0.001581308885199231,0.03411986142106127,25
cifar10,300,0.0003,smart_meta,11,0.05150000751018524,0.0031748632823982437,0.001581308885199231,0.03411986142106127,25
cifar10,300,0.0003,param,11,0.05150000751018524,0.0031748632823982437,0.001581308885199231,0.03411986142106127,25
cifar10,2000,0.003,early,52,0.004100009799003601,0.041315945232728635,0.012940046967388479,0.06558547607453036,26
cifar10,2000,0.003,smart_trend,11,0.05870000272989273,0.041315945232728635,0.012940046967388479,0.06558547607453036,26
cifar10,2000,0.003,smart_meta,11,0.05870000272989273,0.041315945232728635,0.012940046967388479,0.06558547607453036,26
cifar10,2000,0.003,param,11,0.05870000272989273,0.041315945232728635,0.012940046967388479,0.06558547607453036,26
cifar10,2000,0.003,early,26,0.014699995517730713,0.10986831436901234,0.024851630618917712,0.04307887367205421,27
cifar10,2000,0.003,smart_trend,11,0.02950000762939453,0.10986831436901234,0.024851630618917712,0.04307887367205421,27
cifar10,2000,0.003,smart_meta,11,0.02950000762939453,0.10986831436901234,0.024851630618917712,0.04307887367205421,27
cifar10,2000,0.003,param,11,0.02950000762939453,0.10986831436901234,0.024851630618917712,0.04307887367205421,27
cifar10,800,0.005,early,17,0.0,0.24129868813147803,0.09986082133189335,0.032863664194235365,28
cifar10,800,0.005,smart_trend,14,0.0,0.24129868813147803,0.09986082133189335,0.032863664194235365,28
cifar10,800,0.005,smart_meta,13,0.0,0.24129868813147803,0.09986082133189335,0.032863664194235365,28
cifar10,800,0.005,param,11,0.012499988079071045,0.24129868813147803,0.09986082133189335,0.032863664194235365,28
cifar10,300,0.005,early,19,0.014999985694885254,0.19837804728704245,0.08626696883489766,0.0189405268529782,29
cifar10,300,0.005,smart_trend,15,0.014999985694885254,0.19837804728704245,0.08626696883489766,0.0189405268529782,29
cifar10,300,0.005,smart_meta,11,0.053700000047683716,0.19837804728704245,0.08626696883489766,0.0189405268529782,29
cifar10,300,0.005,param,12,0.0364999920129776,0.19837804728704245,0.08626696883489766,0.0189405268529782,29
cifar10,6000,0.001,early,24,0.027100026607513428,0.044714440116813914,0.019815246871768274,0.07547568005002947,30
cifar10,6000,0.001,smart_trend,11,0.05820000171661377,0.044714440116813914,0.019815246871768274,0.07547568005002947,30
cifar10,6000,0.001,smart_meta,15,0.04240000247955322,0.044714440116813914,0.019815246871768274,0.07547568005002947,30
cifar10,6000,0.001,param,11,0.05820000171661377,0.044714440116813914,0.019815246871768274,0.07547568005002947,30
cifar10,300,0.0005,early,34,0.03689998388290405,0.20186909075365467,0.05035999670476007,0.05990490174284846,31
cifar10,300,0.0005,smart_trend,18,0.0754999965429306,0.20186909075365467,0.05035999670476007,0.05990490174284846,31
cifar10,300,0.0005,smart_meta,19,0.0754999965429306,0.20186909075365467,0.05035999670476007,0.05990490174284846,31
cifar10,300,0.0005,param,11,0.12680000066757202,0.20186909075365467,0.05035999670476007,0.05990490174284846,31
cifar10,800,0.003,early,15,0.03290000557899475,0.46941112545011565,0.09034054000912495,0.0,32
cifar10,800,0.003,smart_trend,12,0.03290000557899475,0.46941112545011565,0.09034054000912495,0.0,32
cifar10,800,0.003,smart_meta,11,0.03290000557899475,0.46941112545011565,0.09034054000912495,0.0,32
cifar10,800,0.003,param,11,0.03290000557899475,0.46941112545011565,0.09034054000912495,0.0,32
cifar10,6000,0.003,early,16,0.009599998593330383,0.044460148316342596,0.020021818974835077,0.031947555285291585,33
cifar10,6000,0.003,smart_trend,11,0.009599998593330383,0.044460148316342596,0.020021818974835077,0.031947555285291585,33
