task,holdout,is_classifier,train_size,run,strat,epochs,quality,oracle
CIFAR10,True,True,2000,1,param,11,0.29420000314712524,0.3515999913215637
CIFAR10,True,True,2000,2,early,32,0.346699982881546,0.3515999913215637
CIFAR10,True,True,2000,2,smart_trend,13,0.30889999866485596,0.3515999913215637
CIFAR10,True,True,2000,2,smart_meta,12,0.30059999227523804,0.3515999913215637
CIFAR10,True,True,2000,2,param,11,0.30059999227523804,0.3515999913215637
CIFAR10,True,True,2000,3,early,43,0.3612000048160553,0.3612000048160553
CIFAR10,True,True,2000,3,smart_trend,14,0.3215999901294708,0.3612000048160553
CIFAR10,True,True,2000,3,smart_meta,11,0.30640000104904175,0.3612000048160553
CIFAR10,True,True,2000,3,param,11,0.30640000104904175,0.3612000048160553
CIFAR10,True,True,5000,0,early,20,0.3393999934196472,0.3734000027179718
CIFAR10,True,True,5000,0,smart_trend,12,0.3335999846458435,0.3734000027179718
CIFAR10,True,True,5000,0,smart_meta,11,0.3253999948501587,0.3734000027179718
CIFAR10,True,True,5000,0,param,11,0.3253999948501587,0.3734000027179718
CIFAR10,True,True,5000,1,early,45,0.3862999975681305,0.38609999418258667
CIFAR10,True,True,5000,1,smart_trend,15,0.3479999899864197,0.38609999418258667
CIFAR10,True,True,5000,1,smart_meta,11,0.3423999845981598,0.38609999418258667
CIFAR10,True,True,5000,1,param,11,0.3423999845981598,0.38609999418258667
CIFAR10,True,True,5000,2,early,25,0.35989999771118164,0.3863999843597412
CIFAR10,True,True,5000,2,smart_trend,12,0.3271999955177307,0.3863999843597412
CIFAR10,True,True,5000,2,smart_meta,11,0.33219999074935913,0.3863999843597412
CIFAR10,True,True,5000,2,param,11,0.33219999074935913,0.3863999843597412
CIFAR10,True,True,5000,3,early,30,0.3676999807357788,0.3824999928474426
CIFAR10,True,True,5000,3,smart_trend,16,0.3531999886035919,0.3824999928474426
CIFAR10,True,True,5000,3,smart_meta,14,0.3479999899864197,0.3824999928474426
CIFAR10,True,True,5000,3,param,11,0.3471999764442444,0.3824999928474426
Wine,True,False,300,0,early,22,0.40299711737835786,0.40299711737835786
Wine,True,False,300,0,smart_trend,19,0.40299711737835786,0.40299711737835786
Wine,True,False,300,0,smart_meta,17,0.40299711737835786,0.40299711737835786
Wine,True,False,300,0,param,23,0.40299711737835786,0.40299711737835786
Wine,True,False,300,1,early,17,0.3179519918695405,0.37187579492279565
Wine,True,False,300,1,smart_trend,15,0.3179519918695405,0.37187579492279565
Wine,True,False,300,1,smart_meta,13,0.3179519918695405,0.37187579492279565
Wine,True,False,300,1,param,14,0.3179519918695405,0.37187579492279565
Wine,True,False,300,2,early,31,0.4454981987567914,0.4454981987567914
Wine,True,False,300,2,smart_trend,20,0.4397828996671185,0.4454981987567914
Wine,True,False,300,2,smart_meta,20,0.4397828996671185,0.4454981987567914
Wine,True,False,300,2,param,25,0.4454881144441808,0.4454981987567914
Wine,True,False,300,3,early,25,0.40136119125686753,0.40136119125686753
Wine,True,False,300,3,smart_trend,18,0.3944970562459421,0.40136119125686753
Wine,True,False,300,3,smart_meta,18,0.3944970562459421,0.40136119125686753
Wine,True,False,300,3,param,21,0.40136119125686753,0.40136119125686753
Wine,True,False,600,0,early,15,0.4240081705606954,0.4515675228566337
Wine,True,False,600,0,smart_trend,13,0.4240081705606954,0.4515675228566337
Wine,True,False,600,0,smart_meta,13,0.4240081705606954,0.4515675228566337
Wine,True,False,600,0,param,14,0.4240081705606954,0.4515675228566337
Wine,True,False,600,1,early,27,0.3998890009566993,0.40309074037531656
Wine,True,False,600,1,smart_trend,12,0.38180812679835907,0.40309074037531656
Wine,True,False,600,1,smart_meta,11,0.3758666765560581,0.40309074037531656
Wine,True,False,600,1,param,11,0.3758666765560581,0.40309074037531656
Wine,True,False,600,2,early,35,0.4492544560280134,0.4492544560280134
Wine,True,False,600,2,smart_trend,15,0.4351241262524932,0.4492544560280134
Wine,True,False,600,2,smart_meta,20,0.44257088391625754,0.4492544560280134
Wine,True,False,600,2,param,15,0.4351241262524932,0.4492544560280134
Wine,True,False,600,3,early,20,0.41505950669333047,0.42952816814046035
Wine,True,False,600,3,smart_trend,14,0.41348695063096697,0.42952816814046035
Wine,True,False,600,3,smart_meta,13,0.4116360914087468,0.42952816814046035
Wine,True,False,600,3,param,14,0.41348695063096697,0.42952816814046035
